Elevation,Slope,Aspect,Profile_curvature,Plan_Curvature,Vegetation,Lithology,Tmax,Tmin,Wind,Humidity,Solar,PrecipAcum3,PrecipAcum5,PrecipAcum7,PrecipAcum10,PrecipAcum15,PrecipAcum20,PrecipAcum30,Landslide
1498.95,36.58,89.76,-0.0022,-0.0317,1,1,27.70,20.62,1.0067,0.9212,17.84,40.10,67.07,94.10,134.91,203.84,272.47,408.94,1
1493.60,24.98,78.32,-0.0011,-0.0185,1,1,27.70,20.61,1.0068,0.9211,17.85,40.10,67.06,94.09,134.89,203.82,272.44,408.90,1
1480.13,26.20,58.59,0.0000,-0.0033,1,1,27.70,20.61,1.0069,0.9211,17.85,40.09,67.06,94.08,134.88,203.80,272.41,408.86,1
1474.19,18.28,340.83,0.0000,-0.0025,1,1,27.70,20.61,1.0070,0.9211,17.85,40.09,67.05,94.07,134.86,203.77,272.38,408.82,1
1481.68,30.07,292.15,0.0001,-0.0120,1,1,27.70,20.61,1.0071,0.9211,17.85,40.08,67.04,94.06,134.85,203.75,272.35,408.78,1
1498.10,42.69,278.12,-0.0001,-0.0206,1,1,27.70,20.61,1.0072,0.9211,17.85,40.08,67.03,94.05,134.83,203.73,272.32,408.73,1
1522.85,45.71,276.47,0.0000,-0.0430,1,1,27.70,20.61,1.0072,0.9211,17.85,40.07,67.03,94.04,134.82,203.71,272.29,408.69,1
1539.09,40.21,275.18,0.0001,-0.0228,1,1,27.70,20.61,1.0073,0.9211,17.85,40.07,67.02,94.03,134.80,203.69,272.26,408.65,1
1493.95,17.33,68.44,-0.0007,-0.0165,1,1,27.70,20.61,1.0069,0.9211,17.85,40.10,67.06,94.09,134.89,203.81,272.43,408.89,1
1487.97,20.96,38.77,0.0000,-0.0028,1,1,27.70,20.61,1.0070,0.9211,17.85,40.09,67.05,94.08,134.87,203.79,272.40,408.85,1
1486.01,22.26,347.94,0.0000,-0.0027,1,1,27.70,20.61,1.0071,0.9211,17.85,40.09,67.05,94.07,134.86,203.77,272.37,408.81,1
1493.28,25.11,309.34,0.0002,-0.0128,1,1,27.70,20.61,1.0071,0.9211,17.85,40.08,67.04,94.06,134.84,203.75,272.34,408.77,1
1499.34,39.49,277.95,0.0006,-0.0198,1,1,27.70,20.61,1.0072,0.9211,17.85,40.08,67.03,94.05,134.83,203.73,272.32,408.73,1
1523.82,45.47,271.63,0.0003,-0.0429,1,1,27.70,20.61,1.0073,0.9211,17.85,40.07,67.02,94.04,134.82,203.71,272.29,408.69,1
1540.02,38.63,271.61,0.0001,-0.0227,1,1,27.70,20.61,1.0074,0.9211,17.86,40.07,67.02,94.03,134.80,203.68,272.26,408.64,1
1555.62,58.48,270.58,0.0010,-0.0247,1,1,27.70,20.61,1.0075,0.9211,17.86,40.06,67.01,94.02,134.79,203.66,272.23,408.60,1
1495.49,11.26,62.15,-0.0003,-0.0138,1,1,27.70,20.61,1.0070,0.9211,17.85,40.09,67.06,94.09,134.89,203.81,272.43,408.89,1
1493.97,10.72,34.34,0.0000,-0.0030,1,1,27.70,20.61,1.0071,0.9211,17.85,40.09,67.05,94.08,134.87,203.79,272.40,408.85,1
1492.40,9.26,341.32,0.0000,-0.0027,1,1,27.70,20.61,1.0071,0.9211,17.85,40.08,67.04,94.07,134.86,203.77,272.37,408.80,1
1495.47,12.63,289.16,-0.0003,-0.0132,1,1,27.70,20.61,1.0072,0.9211,17.85,40.08,67.04,94.06,134.84,203.74,272.34,408.76,1
1499.84,35.91,271.11,-0.0001,-0.0198,1,1,27.70,20.61,1.0073,0.9211,17.85,40.08,67.03,94.05,134.83,203.72,272.31,408.72,1
1523.80,45.27,270.01,0.0004,-0.0427,1,1,27.70,20.61,1.0074,0.9211,17.86,40.07,67.02,94.03,134.81,203.70,272.28,408.68,1
1540.07,38.66,270.06,0.0013,-0.0215,1,1,27.70,20.61,1.0075,0.9211,17.86,40.07,67.01,94.02,134.80,203.68,272.25,408.64,1
1555.78,58.43,270.18,0.0021,-0.0248,1,1,27.70,20.61,1.0076,0.9211,17.86,40.06,67.01,94.01,134.78,203.66,272.22,408.60,1
1494.98,4.65,54.32,-0.0004,-0.0035,1,1,27.70,20.61,1.0071,0.9211,17.85,40.09,67.05,94.07,134.87,203.78,272.39,408.84,1
1494.00,3.51,340.82,0.0000,-0.0030,1,1,27.70,20.61,1.0072,0.9211,17.85,40.08,67.04,94.06,134.85,203.76,272.36,408.80,1
1495.00,8.88,286.65,-0.0001,-0.0131,1,1,27.70,20.61,1.0073,0.9211,17.85,40.08,67.04,94.05,134.84,203.74,272.33,408.76,1
1499.68,35.13,271.76,0.0003,-0.0195,1,1,27.70,20.61,1.0074,0.9211,17.86,40.07,67.03,94.04,134.82,203.72,272.30,408.71,1
1523.65,45.03,270.36,0.0014,-0.0420,1,1,27.70,20.61,1.0075,0.9211,17.86,40.07,67.02,94.03,134.81,203.70,272.28,408.67,1
1540.04,38.74,269.99,0.0033,-0.0205,1,1,27.70,20.61,1.0076,0.9211,17.86,40.07,67.01,94.02,134.79,203.68,272.25,408.63,1
1496.96,12.39,301.84,0.0000,-0.0124,1,1,27.70,20.61,1.0074,0.9211,17.86,40.08,67.03,94.05,134.84,203.74,272.33,408.75,1
1500.81,35.75,283.80,0.0003,-0.0185,1,1,27.70,20.61,1.0075,0.9211,17.86,40.07,67.03,94.04,134.82,203.71,272.30,408.70,1
794.50,75.53,358.34,-0.0077,0.0512,1,1,27.97,21.01,0.9352,0.9280,16.63,44.68,74.64,104.60,149.66,225.64,301.48,450.99,1
795.95,75.49,359.86,-0.0028,0.0506,1,1,27.97,21.01,0.9352,0.9280,16.63,44.68,74.64,104.59,149.65,225.62,301.45,450.94,1
794.72,75.43,0.94,0.0094,0.0508,1,1,27.97,21.01,0.9353,0.9280,16.63,44.67,74.63,104.58,149.63,225.59,301.42,450.89,1
791.93,75.38,1.85,0.0168,0.0466,1,1,27.97,21.01,0.9354,0.9280,16.63,44.67,74.62,104.57,149.61,225.57,301.38,450.85,1
786.65,74.75,8.25,0.0139,0.0318,1,1,27.97,21.01,0.9354,0.9279,16.64,44.66,74.61,104.56,149.60,225.54,301.35,450.80,1
769.27,72.45,17.28,0.0146,0.0123,1,1,27.97,21.01,0.9355,0.9279,16.64,44.66,74.60,104.54,149.58,225.52,301.32,450.75,1
894.40,73.07,0.03,-0.0075,0.0855,1,1,27.97,21.01,0.9353,0.9279,16.63,44.68,74.63,104.59,149.64,225.61,301.43,450.92,1
893.17,73.96,357.97,0.0060,0.0832,1,1,27.97,21.01,0.9353,0.9279,16.63,44.67,74.62,104.57,149.62,225.58,301.40,450.87,1
892.69,76.14,356.53,0.0098,0.0841,1,1,27.97,21.01,0.9354,0.9279,16.64,44.67,74.62,104.56,149.61,225.56,301.37,450.83,1
890.95,77.82,6.75,0.0069,0.0828,1,1,27.97,21.01,0.9354,0.9279,16.64,44.66,74.61,104.55,149.59,225.54,301.34,450.78,1
1038.79,65.77,170.20,-0.0007,0.0917,1,1,27.95,20.99,0.9392,0.9277,16.70,44.32,74.04,103.77,148.48,223.89,299.15,447.61,1
1032.69,68.79,172.57,-0.0045,0.0880,1,1,27.95,20.99,0.9393,0.9277,16.70,44.32,74.04,103.76,148.47,223.86,299.11,447.56,1
1026.22,70.91,173.83,-0.0060,0.0853,1,1,27.95,20.99,0.9393,0.9277,16.70,44.31,74.03,103.74,148.45,223.84,299.08,447.50,1
1020.71,72.29,176.04,-0.0028,0.0821,1,1,27.95,20.99,0.9394,0.9277,16.70,44.30,74.02,103.73,148.43,223.81,299.04,447.45,1
924.78,44.42,180.95,0.0402,0.0958,1,1,27.97,21.01,0.9353,0.9279,16.63,44.67,74.63,104.58,149.63,225.60,301.42,450.90,1
928.37,42.55,214.53,0.1246,0.0196,1,1,27.97,21.01,0.9354,0.9279,16.64,44.67,74.62,104.57,149.62,225.57,301.39,450.85,1
951.91,44.82,258.42,0.0603,0.0635,1,1,27.97,21.01,0.9354,0.9279,16.64,44.66,74.61,104.56,149.60,225.55,301.36,450.80,1
1012.89,74.43,174.84,0.0124,0.0660,1,1,27.95,20.99,0.9391,0.9277,16.69,44.34,74.07,103.80,148.53,223.96,299.24,447.74,1
1002.69,75.55,171.19,0.0077,0.0594,1,1,27.95,20.99,0.9391,0.9277,16.69,44.33,74.06,103.79,148.51,223.94,299.21,447.69,1
985.11,76.65,169.44,0.0036,0.0506,1,1,27.95,20.99,0.9392,0.9277,16.70,44.32,74.05,103.78,148.50,223.91,299.17,447.64,1
966.28,77.43,170.99,-0.0013,0.0430,1,1,27.95,20.99,0.9392,0.9277,16.70,44.32,74.04,103.76,148.48,223.88,299.14,447.59,1
952.60,77.93,172.80,-0.0057,0.0354,1,1,27.95,20.99,0.9393,0.9277,16.70,44.31,74.03,103.75,148.46,223.86,299.10,447.54,1
938.80,78.32,173.59,-0.0087,0.0276,1,1,27.95,20.99,0.9394,0.9277,16.70,44.31,74.02,103.74,148.44,223.83,299.07,447.49,1
927.67,78.61,175.63,-0.0052,0.0218,1,1,27.95,20.99,0.9394,0.9277,16.70,44.30,74.01,103.73,148.42,223.80,299.03,447.43,1
922.02,78.77,177.72,-0.0013,0.0175,1,1,27.95,20.99,0.9395,0.9277,16.70,44.30,74.01,103.71,148.41,223.78,298.99,447.38,1
918.78,78.78,177.94,-0.0002,0.0130,1,1,27.95,20.99,0.9395,0.9277,16.70,44.29,74.00,103.70,148.39,223.75,298.96,447.33,1
